CURRENT_GAME_ID,WIN_PERCENTAGE_A,WIN_PERCENTAGE_B
21800248,0.8,0.6
21800236,0.8,0.0
21800227,0.6,0.8
21800202,0.4,0.6
21800167,0.2,0.4
21800154,0.2,0.6
21800142,0.2,0.2
21800117,0.2,0.6
21800098,0.4,0.6
21800064,0.4,0.8
21800017,0.2,0.2
21800006,0.0,0.6
21800286,0.8,0.4
21800278,0.8,0.2
21800212,0.8,0.8
21800189,0.6,0.0
21800162,0.4,0.4
21800139,0.6,1.0
21800109,0.4,0.2
21800066,0.2,0.8
21800048,0.4,0.4
21800035,0.6,0.8
21800233,0.4,0.6
21800211,0.2,0.4
21800164,0.2,0.8
21800151,0.4,0.4
21800136,0.2,1.0
21800123,0.2,1.0
21800110,0.2,0.6
21800060,0.2,0.6
21800013,0.2,0.4
21800287,0.4,0.0
21800267,0.4,0.8
21800240,0.4,0.2
21800184,0.6,0.4
21800140,0.6,0.4
21800074,1.0,0.6
21800063,0.8,0.0
21800049,0.6,0.8
21800004,0.2,0.0
21800290,0.6,0.0
21800271,0.6,0.4
21800206,0.8,0.4
21800192,1.0,0.6
21800174,1.0,0.2
21800100,1.0,0.8
21800069,1.0,0.8
21800055,1.0,0.6
21800041,0.8,0.4
21800019,0.8,1.0
21800008,0.6,0.4
21800250,0.2,0.4
21800235,0.2,0.4
21800191,0.4,1.0
21800177,0.6,0.4
21800170,0.6,0.8
21800156,0.4,0.6
21800089,0.6,0.6
21800079,0.6,0.8
21800054,0.6,0.2
21800030,0.8,0.2
21800270,1.0,0.0
21800253,1.0,0.8
21800242,1.0,0.0
21800218,1.0,0.6
21800168,1.0,0.6
21800125,1.0,0.4
21800113,0.8,0.8
21800088,0.6,0.4
21800078,0.6,0.4
21800029,0.8,0.0
21800014,0.8,0.2
21800289,0.2,0.4
21800265,0.4,0.0
21800224,0.4,0.8
21800205,0.6,0.4
21800134,0.4,0.6
21800118,0.6,0.0
21800104,0.4,0.4
21800083,0.4,0.8
21800018,0.0,0.2
21800269,0.2,0.8
21800251,0.2,0.8
21800186,0.2,0.4
21800143,0.4,0.2
21800105,0.4,0.4
21800090,0.2,0.2
21800068,0.2,0.6
21800028,0.2,1.0
21800007,0.0,0.0
21800291,0.8,0.6
21800244,0.8,0.6
21800220,0.8,0.6
21800194,1.0,0.4
21800179,1.0,0.6
21800158,1.0,1.0
21800102,0.6,0.2
21800080,0.4,0.2
21800020,0.0,0.0
21800252,0.6,0.6
21800239,0.6,0.4
21800225,0.8,0.6
21800149,0.6,0.4
21800126,0.4,0.2
21800111,0.6,0.4
21800096,0.4,0.8
21800067,0.2,0.2
21800003,0.2,0.0
21800288,0.0,0.2
21800268,0.0,0.0
21800254,0.2,0.8
21800243,0.2,0.8
21800169,0.4,0.4
21800155,0.4,0.2
21800128,0.4,0.8
21800114,0.4,0.6
21800076,0.4,0.2
21800052,0.2,0.8
21800263,0.4,0.6
21800172,0.2,0.6
21800160,0.2,0.6
21800146,0.4,0.6
21800122,0.6,0.2
21800045,0.4,0.0
21800024,0.4,0.8
21800292,0.6,0.6
21800247,0.6,0.6
21800197,0.6,0.6
21800183,0.6,0.2
21800173,0.4,0.4
21800161,0.6,0.6
21800073,0.4,0.4
21800061,0.2,0.0
21800011,0.2,0.4
21800293,0.8,0.8
21800188,0.8,0.6
21800165,0.6,0.8
21800152,0.6,0.8
21800138,0.6,0.8
21800132,0.8,0.2
21800116,0.8,0.8
21800046,0.8,0.2
21800034,0.6,0.4
21800016,0.4,0.8
21800266,1.0,1.0
21800215,1.0,0.8
21800198,1.0,0.6
21800175,0.8,0.8
21800148,0.8,0.8
21800086,0.6,0.2
21800039,0.2,0.8
21800025,0.2,1.0
21800012,0.4,0.4
21800258,0.6,0.4
21800231,0.4,0.2
21800213,0.2,0.6
21800185,0.2,0.6
21800101,0.4,0.6
21800070,0.6,0.2
21800057,0.8,0.4
21800009,1.0,0.6
21800279,0.0,0.6
21800256,0.4,0.4
21800199,0.2,0.2
21800153,0.2,0.8
21800112,0.2,1.0
21800097,0.0,0.2
21800077,0.0,0.6
21800053,0.2,0.0
21800036,0.4,0.0
21800280,0.6,1.0
21800249,0.6,0.0
21800237,0.6,0.6
21800219,0.6,0.2
21800203,0.4,0.2
21800190,0.2,0.4
21800135,0.2,0.2
21800119,0.2,0.6
21800027,0.2,0.6
21800015,0.2,0.6
21800246,0.8,0.8
21800228,0.8,0.4
21800222,0.8,0.2
