,CURRENT_GAME_ID,DAYS_SINCE_LAST_GAME_A,DAYS_SINCE_LAST_GAME_B
0,21701213,2.0,4.0
1,21701214,2.0,2.0
2,21701216,2.0,2.0
3,21701217,2.0,2.0
4,21701218,2.0,3.0
5,21701215,4.0,2.0
6,21701207,2.0,3.0
7,21701204,1.0,1.0
8,21701205,2.0,3.0
9,21701206,3.0,2.0
10,21701211,2.0,2.0
11,21701208,2.0,1.0
12,21701209,3.0,1.0
13,21701210,2.0,3.0
14,21701212,2.0,2.0
15,21701202,2.0,2.0
16,21701197,2.0,2.0
17,21701198,2.0,2.0
18,21701199,2.0,2.0
19,21701200,2.0,2.0
20,21701201,2.0,3.0
21,21701203,2.0,1.0
22,21701191,2.0,2.0
23,21701192,1.0,2.0
24,21701193,1.0,2.0
25,21701194,2.0,4.0
26,21701195,2.0,1.0
27,21701196,3.0,2.0
28,21701185,2.0,3.0
29,21701182,2.0,3.0
30,21701183,2.0,1.0
31,21701187,2.0,1.0
32,21701184,1.0,2.0
33,21701181,2.0,2.0
34,21701186,3.0,2.0
35,21701188,2.0,3.0
36,21701189,3.0,2.0
37,21701190,2.0,1.0
38,21701175,2.0,2.0
39,21701177,2.0,2.0
40,21701179,2.0,2.0
41,21701178,2.0,2.0
42,21701180,2.0,4.0
43,21701176,2.0,2.0
44,21701170,1.0,1.0
45,21701169,3.0,1.0
46,21701172,1.0,4.0
47,21701173,3.0,3.0
48,21701174,1.0,1.0
49,21701171,1.0,1.0
50,21701156,2.0,3.0
51,21701157,2.0,2.0
52,21701159,3.0,2.0
53,21701158,3.0,2.0
54,21701161,2.0,2.0
55,21701160,2.0,2.0
56,21701163,2.0,2.0
57,21701165,2.0,2.0
58,21701164,2.0,2.0
59,21701162,2.0,3.0
60,21701166,2.0,2.0
61,21701167,2.0,2.0
62,21701168,2.0,2.0
63,21701143,1.0,2.0
64,21701144,2.0,1.0
65,21701146,2.0,3.0
66,21701145,3.0,2.0
67,21701150,2.0,2.0
68,21701148,1.0,1.0
69,21701147,2.0,2.0
70,21701149,2.0,2.0
71,21701151,2.0,2.0
72,21701152,2.0,2.0
73,21701153,1.0,2.0
74,21701154,2.0,2.0
75,21701155,2.0,1.0
76,21701138,2.0,3.0
77,21701139,3.0,2.0
78,21701140,3.0,4.0
79,21701141,2.0,3.0
80,21701142,2.0,2.0
81,21701129,2.0,1.0
82,21701132,3.0,2.0
83,21701130,2.0,2.0
84,21701135,2.0,2.0
85,21701133,1.0,3.0
86,21701131,2.0,3.0
87,21701134,2.0,2.0
88,21701137,2.0,2.0
89,21701136,2.0,1.0
90,21701127,2.0,2.0
91,21701124,3.0,2.0
92,21701125,2.0,2.0
93,21701126,2.0,4.0
94,21701128,2.0,2.0
95,21701116,2.0,1.0
96,21701117,4.0,3.0
97,21701118,2.0,2.0
98,21701119,2.0,1.0
99,21701120,2.0,3.0
100,21701121,3.0,2.0
101,21701122,2.0,1.0
102,21701123,2.0,1.0
103,21701109,2.0,1.0
104,21701108,2.0,2.0
105,21701112,3.0,2.0
106,21701110,2.0,2.0
107,21701111,2.0,3.0
108,21701114,2.0,2.0
109,21701115,2.0,2.0
110,21701113,2.0,3.0
111,21701105,2.0,3.0
112,21701106,2.0,2.0
113,21701107,2.0,1.0
114,21701103,2.0,1.0
115,21701104,2.0,2.0
116,21701094,2.0,2.0
117,21701095,2.0,2.0
118,21701096,2.0,2.0
119,21701097,2.0,2.0
120,21701098,2.0,2.0
121,21701099,3.0,2.0
122,21701100,2.0,2.0
123,21701101,1.0,2.0
124,21701102,2.0,2.0
125,21701090,2.0,1.0
126,21701089,2.0,1.0
127,21701091,2.0,2.0
128,21701092,2.0,2.0
129,21701093,2.0,2.0
130,21701088,2.0,1.0
131,21701082,2.0,2.0
132,21701078,2.0,2.0
133,21701081,2.0,3.0
134,21701079,2.0,2.0
135,21701080,2.0,3.0
136,21701083,2.0,2.0
137,21701084,3.0,2.0
138,21701085,2.0,1.0
139,21701086,3.0,3.0
140,21701087,4.0,1.0
141,21701077,3.0,2.0
142,21701072,1.0,1.0
143,21701073,2.0,1.0
144,21701074,2.0,2.0
145,21701075,1.0,3.0
146,21701076,2.0,2.0
147,21701067,2.0,2.0
148,21701068,2.0,2.0
149,21701070,2.0,1.0
150,21701069,2.0,2.0
151,21700809,1.0,2.0
152,21701071,2.0,4.0
153,21701065,2.0,1.0
154,21701066,2.0,2.0
155,21701058,4.0,2.0
156,21701060,2.0,2.0
157,21701061,2.0,3.0
158,21701063,3.0,1.0
159,21701062,3.0,3.0
160,21701064,2.0,2.0
161,21701059,2.0,2.0
162,21701051,2.0,3.0
163,21701052,3.0,2.0
164,21701055,2.0,2.0
165,21701054,3.0,2.0
166,21701053,2.0,2.0
167,21701056,2.0,2.0
168,21701057,2.0,2.0
169,21701050,2.0,2.0
170,21701046,2.0,2.0
171,21701047,1.0,2.0
172,21701048,1.0,1.0
173,21701049,2.0,1.0
174,21701041,3.0,2.0
175,21701036,2.0,2.0
176,21701039,2.0,2.0
177,21701035,3.0,2.0
178,21701037,1.0,1.0
179,21701038,2.0,2.0
180,21701040,2.0,2.0
181,21701043,2.0,1.0
182,21701042,2.0,4.0
183,21701044,2.0,1.0
184,21701045,2.0,2.0
185,21701029,2.0,2.0
186,21701030,1.0,3.0
187,21701031,1.0,3.0
188,21701032,3.0,1.0
189,21701034,2.0,2.0
