,GAME_ID_HOME_A0,TEAM_NAME_HOME_A0,FGM_HOME_A0,FGA_HOME_A0,FG_PCT_HOME_A0,FG3M_HOME_A0,FG3A_HOME_A0,FG3_PCT_HOME_A0,FTM_HOME_A0,FTA_HOME_A0,FT_PCT_HOME_A0,OREB_HOME_A0,DREB_HOME_A0,REB_HOME_A0,AST_HOME_A0,STL_HOME_A0,BLK_HOME_A0,TO_HOME_A0,PF_HOME_A0,PTS_HOME_A0,PLUS_MINUS_HOME_A0,GAME_DATE_EST_HOME_A0,WIN_HOME_A0,GAME_ID_AWAY_A0,TEAM_NAME_AWAY_A0,FGM_AWAY_A0,FGA_AWAY_A0,FG_PCT_AWAY_A0,FG3M_AWAY_A0,FG3A_AWAY_A0,FG3_PCT_AWAY_A0,FTM_AWAY_A0,FTA_AWAY_A0,FT_PCT_AWAY_A0,OREB_AWAY_A0,DREB_AWAY_A0,REB_AWAY_A0,AST_AWAY_A0,STL_AWAY_A0,BLK_AWAY_A0,TO_AWAY_A0,PF_AWAY_A0,PTS_AWAY_A0,PLUS_MINUS_AWAY_A0,GAME_DATE_EST_AWAY_A0,WIN_AWAY_A0,MIN_A0,CURRENT_GAME_ID,GAME_ID_HOME_B0,TEAM_NAME_HOME_B0,FGM_HOME_B0,FGA_HOME_B0,FG_PCT_HOME_B0,FG3M_HOME_B0,FG3A_HOME_B0,FG3_PCT_HOME_B0,FTM_HOME_B0,FTA_HOME_B0,FT_PCT_HOME_B0,OREB_HOME_B0,DREB_HOME_B0,REB_HOME_B0,AST_HOME_B0,STL_HOME_B0,BLK_HOME_B0,TO_HOME_B0,PF_HOME_B0,PTS_HOME_B0,PLUS_MINUS_HOME_B0,GAME_DATE_EST_HOME_B0,WIN_HOME_B0,GAME_ID_AWAY_B0,TEAM_NAME_AWAY_B0,FGM_AWAY_B0,FGA_AWAY_B0,FG_PCT_AWAY_B0,FG3M_AWAY_B0,FG3A_AWAY_B0,FG3_PCT_AWAY_B0,FTM_AWAY_B0,FTA_AWAY_B0,FT_PCT_AWAY_B0,OREB_AWAY_B0,DREB_AWAY_B0,REB_AWAY_B0,AST_AWAY_B0,STL_AWAY_B0,BLK_AWAY_B0,TO_AWAY_B0,PF_AWAY_B0,PTS_AWAY_B0,PLUS_MINUS_AWAY_B0,GAME_DATE_EST_AWAY_B0,WIN_AWAY_B0,MIN_B0
0,21601210,Rockets,33,84,0.39299999999999996,9,40,0.225,21,27,0.778,9,32,41,23,5,3,15,23,96,-29.0,2017-04-10 00:00:00,0,21601210,Clippers,46,91,0.505,10,26,0.385,23,28,0.821,12,37,49,29,9,0,9,16,125,29.0,2017-04-10 00:00:00,1,240.0,21601228,21601200,Rockets,45,80,0.563,18,43,0.419,27,31,0.871,5,36,41,26,3,2,16,22,135,7.0,2017-04-09 00:00:00,1,21601200,Kings,47,94,0.5,9,31,0.29,25,30,0.833,7,31,38,26,8,2,5,18,128,-7.0,2017-04-09 00:00:00,0,240.0
0,21601197,Hawks,44,94,0.46799999999999997,9,31,0.29,29,37,0.784,10,35,45,31,8,4,12,22,126,1.0,2017-04-09 00:00:00,1,21601197,Cavaliers,45,98,0.45899999999999996,19,46,0.413,16,20,0.8,13,40,53,28,4,3,14,27,125,-1.0,2017-04-09 00:00:00,0,265.0,21601226,21601150,Cavaliers,47,95,0.495,18,43,0.419,23,33,0.6970000000000001,15,41,56,29,7,4,13,19,135,5.0,2017-04-02 00:00:00,1,21601150,Pacers,48,105,0.457,16,41,0.39,18,20,0.9,12,34,46,32,6,3,9,24,130,-5.0,2017-04-02 00:00:00,0,290.0
0,21601196,Knicks,37,82,0.451,9,28,0.321,14,15,0.9329999999999999,6,30,36,27,6,1,11,18,97,-13.0,2017-04-09 00:00:00,0,21601196,Raptors,40,77,0.519,10,31,0.32299999999999995,20,23,0.87,5,36,41,20,8,1,10,14,110,13.0,2017-04-09 00:00:00,1,240.0,21601220,21601147,76ers,36,80,0.45,11,36,0.306,22,25,0.88,13,24,37,25,8,5,19,20,105,-8.0,2017-04-02 00:00:00,0,21601147,Raptors,46,85,0.541,6,19,0.316,15,19,0.789,10,27,37,25,12,9,15,19,113,8.0,2017-04-02 00:00:00,1,240.0
0,21601165,Hornets,35,78,0.449,8,25,0.32,21,24,0.875,4,32,36,19,2,7,6,15,99,-13.0,2017-04-05 00:00:00,0,21601165,Heat,40,84,0.47600000000000003,21,40,0.525,11,12,0.917,7,33,40,23,5,7,6,16,112,13.0,2017-04-05 00:00:00,1,240.0,21601221,21601155,Hornets,40,79,0.506,12,34,0.353,19,22,0.8640000000000001,9,28,37,21,5,3,16,17,111,-7.0,2017-04-04 00:00:00,0,21601155,Wizards,43,85,0.506,17,34,0.5,15,18,0.833,6,30,36,31,10,3,12,18,118,7.0,2017-04-04 00:00:00,1,240.0
0,21601205,Cavaliers,44,89,0.494,14,35,0.4,19,22,0.8640000000000001,7,40,47,19,7,4,21,25,121,-3.0,2017-04-10 00:00:00,0,21601205,Heat,44,95,0.46299999999999997,12,33,0.364,24,34,0.706,9,37,46,28,9,3,13,26,124,3.0,2017-04-10 00:00:00,1,265.0,21601218,21601180,Heat,33,83,0.39799999999999996,8,23,0.348,20,29,0.69,14,30,44,16,10,5,19,21,94,-2.0,2017-04-07 00:00:00,0,21601180,Raptors,35,85,0.41200000000000003,9,20,0.45,17,24,0.708,12,32,44,14,10,4,15,24,96,2.0,2017-04-07 00:00:00,1,240.0
0,21601200,Rockets,45,80,0.563,18,43,0.419,27,31,0.871,5,36,41,26,3,2,16,22,135,7.0,2017-04-09 00:00:00,1,21601200,Kings,47,94,0.5,9,31,0.29,25,30,0.833,7,31,38,26,8,2,5,18,128,-7.0,2017-04-09 00:00:00,0,240.0,21601224,21601140,Timberwolves,39,87,0.44799999999999995,9,27,0.33299999999999996,30,38,0.789,10,31,41,27,8,4,10,23,117,-6.0,2017-04-01 00:00:00,0,21601140,Kings,44,78,0.564,11,19,0.579,24,33,0.727,7,33,40,27,5,4,17,27,123,6.0,2017-04-01 00:00:00,1,240.0
0,21601189,Celtics,45,87,0.517,17,39,0.436,14,17,0.8240000000000001,5,38,43,35,2,5,9,19,121,7.0,2017-04-08 00:00:00,1,21601189,Hornets,38,84,0.452,9,28,0.321,29,32,0.9059999999999999,7,35,42,22,5,5,7,15,114,-7.0,2017-04-08 00:00:00,0,240.0,21601219,21601207,Hornets,33,81,0.40700000000000003,5,18,0.278,8,13,0.615,7,32,39,21,11,5,9,10,79,-10.0,2017-04-10 00:00:00,0,21601207,Bucks,35,78,0.449,16,27,0.593,3,5,0.6,8,38,46,28,4,3,16,14,89,10.0,2017-04-10 00:00:00,1,240.0
0,21601174,Nets,40,87,0.46,11,30,0.36700000000000005,16,22,0.727,7,32,39,21,7,6,14,19,107,-8.0,2017-04-06 00:00:00,0,21601174,Magic,42,90,0.467,9,25,0.36,22,26,0.846,9,39,48,24,9,6,13,20,115,8.0,2017-04-06 00:00:00,1,240.0,21601222,21601206,Bulls,48,89,0.539,12,26,0.462,14,16,0.875,11,43,54,33,12,4,12,16,122,47.0,2017-04-10 00:00:00,1,21601206,Magic,29,84,0.345,5,27,0.185,12,16,0.75,9,28,37,18,5,5,16,18,75,-47.0,2017-04-10 00:00:00,0,240.0
0,21601195,Warriors,49,96,0.51,10,33,0.303,15,16,0.938,14,39,53,37,2,4,9,15,123,22.0,2017-04-08 00:00:00,1,21601195,Pelicans,42,86,0.488,5,21,0.23800000000000002,12,19,0.632,6,28,34,24,3,1,8,15,101,-22.0,2017-04-08 00:00:00,0,240.0,21601229,21601215,Lakers,42,88,0.47700000000000004,8,22,0.364,16,23,0.696,8,39,47,24,15,3,11,18,108,12.0,2017-04-11 00:00:00,1,21601215,Pelicans,37,79,0.46799999999999997,7,22,0.318,15,20,0.75,5,34,39,29,5,5,16,16,96,-12.0,2017-04-11 00:00:00,0,240.0
0,21601215,Lakers,42,88,0.47700000000000004,8,22,0.364,16,23,0.696,8,39,47,24,15,3,11,18,108,12.0,2017-04-11 00:00:00,1,21601215,Pelicans,37,79,0.46799999999999997,7,22,0.318,15,20,0.75,5,34,39,29,5,5,16,16,96,-12.0,2017-04-11 00:00:00,0,240.0,21601230,21601096,Lakers,33,84,0.39299999999999996,5,21,0.23800000000000002,10,17,0.588,1,41,42,19,6,3,10,17,81,-16.0,2017-03-26 00:00:00,0,21601096,Trail Blazers,36,89,0.40399999999999997,12,28,0.429,13,18,0.722,12,49,61,24,8,4,13,16,97,16.0,2017-03-26 00:00:00,1,240.0
0,21601183,Mavericks,38,88,0.43200000000000005,8,26,0.308,5,8,0.625,6,38,44,26,1,8,9,17,89,-13.0,2017-04-07 00:00:00,0,21601183,Spurs,40,96,0.41700000000000004,9,28,0.321,13,22,0.591,16,42,58,26,6,5,6,11,102,13.0,2017-04-07 00:00:00,1,240.0,21601223,21601161,Grizzlies,35,89,0.39299999999999996,8,25,0.32,11,18,0.611,12,38,50,26,9,2,15,20,89,-6.0,2017-04-04 00:00:00,0,21601161,Spurs,35,80,0.43799999999999994,11,21,0.524,14,18,0.778,8,38,46,22,8,6,15,20,95,6.0,2017-04-04 00:00:00,1,265.0
0,21601214,Mavericks,35,88,0.39799999999999996,12,40,0.3,9,11,0.818,8,34,42,24,8,4,13,11,91,-18.0,2017-04-11 00:00:00,0,21601214,Nuggets,41,84,0.488,18,42,0.429,9,14,0.643,10,43,53,31,7,1,16,14,109,18.0,2017-04-11 00:00:00,1,240.0,21601225,21601100,Mavericks,33,80,0.41200000000000003,10,29,0.345,15,19,0.789,8,31,39,23,12,4,14,16,91,-1.0,2017-03-27 00:00:00,0,21601100,Thunder,37,85,0.435,6,23,0.261,12,14,0.857,11,37,48,17,10,7,17,21,92,1.0,2017-03-27 00:00:00,1,240.0
0,21601121,Nets,35,92,0.38,10,31,0.32299999999999995,9,12,0.75,8,38,46,17,4,4,12,16,89,-1.0,2017-03-30 00:00:00,0,21601121,Pistons,36,86,0.419,7,18,0.389,11,17,0.647,11,42,53,20,6,7,16,11,90,1.0,2017-03-30 00:00:00,1,240.0,21601217,21601174,Nets,40,87,0.46,11,30,0.36700000000000005,16,22,0.727,7,32,39,21,7,6,14,19,107,-8.0,2017-04-06 00:00:00,0,21601174,Magic,42,90,0.467,9,25,0.36,22,26,0.846,9,39,48,24,9,6,13,20,115,8.0,2017-04-06 00:00:00,1,240.0
0,21601209,Trail Blazers,37,89,0.41600000000000004,12,27,0.444,13,15,0.867,12,30,42,18,6,3,9,17,99,1.0,2017-04-10 00:00:00,1,21601209,Spurs,38,83,0.45799999999999996,8,21,0.381,14,20,0.7,13,34,47,17,4,9,15,15,98,-1.0,2017-04-10 00:00:00,0,240.0,21601227,21601194,Trail Blazers,37,91,0.40700000000000003,13,30,0.433,14,16,0.875,12,35,47,15,5,6,3,16,101,15.0,2017-04-08 00:00:00,1,21601194,Jazz,31,78,0.397,6,19,0.316,18,24,0.75,9,38,47,19,2,9,10,18,86,-15.0,2017-04-08 00:00:00,0,240.0
0,21601187,Lakers,38,86,0.442,4,24,0.16699999999999998,18,25,0.72,16,25,41,20,12,1,14,15,98,4.0,2017-04-07 00:00:00,1,21601187,Kings,38,75,0.507,8,20,0.4,10,13,0.769,10,30,40,27,5,6,23,19,94,-4.0,2017-04-07 00:00:00,0,240.0,21601215,21601132,Pelicans,46,95,0.484,10,33,0.303,15,19,0.789,10,35,45,28,16,12,12,13,117,28.0,2017-03-31 00:00:00,1,21601132,Kings,35,90,0.389,6,20,0.3,13,17,0.765,14,38,52,18,7,6,20,17,89,-28.0,2017-03-31 00:00:00,0,240.0
0,21601162,Warriors,44,84,0.524,14,32,0.43799999999999994,19,24,0.792,8,32,40,33,9,7,13,19,121,14.0,2017-04-04 00:00:00,1,21601162,Timberwolves,41,96,0.42700000000000005,4,19,0.21100000000000002,21,26,0.8079999999999999,19,31,50,22,9,3,13,19,107,-14.0,2017-04-04 00:00:00,0,240.0,21601213,21601049,Warriors,40,83,0.48200000000000004,15,33,0.455,16,21,0.762,9,37,46,28,8,8,16,22,111,16.0,2017-03-20 00:00:00,1,21601049,Thunder,37,87,0.425,4,21,0.19,17,31,0.5479999999999999,12,28,40,18,10,2,11,19,95,-16.0,2017-03-20 00:00:00,0,240.0
