,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
0,2016-04-13T00:00:00,1,0021501217,3,Final,20160413/MIABOS,1610612738,1610612748,2015,4,     ,ESPN,Q4       - ESPN,1
1,2016-04-13T00:00:00,2,0021501218,3,Final,20160413/TORBKN,1610612751,1610612761,2015,4,     ,,Q4       - ,1
2,2016-04-13T00:00:00,3,0021501219,3,Final,20160413/ORLCHA,1610612766,1610612753,2015,4,     ,,Q4       - ,1
3,2016-04-13T00:00:00,4,0021501220,3,Final,20160413/DETCLE,1610612739,1610612765,2015,5,     ,,Q5       - ,1
4,2016-04-13T00:00:00,5,0021501221,3,Final,20160413/ATLWAS,1610612764,1610612737,2015,4,     ,,Q4       - ,1
5,2016-04-13T00:00:00,6,0021501222,3,Final,20160413/PHICHI,1610612741,1610612755,2015,4,     ,,Q4       - ,1
6,2016-04-13T00:00:00,7,0021501223,3,Final,20160413/SASDAL,1610612742,1610612759,2015,4,     ,,Q4       - ,1
7,2016-04-13T00:00:00,8,0021501224,3,Final,20160413/SACHOU,1610612745,1610612758,2015,4,     ,,Q4       - ,1
8,2016-04-13T00:00:00,9,0021501225,3,Final,20160413/INDMIL,1610612749,1610612754,2015,4,     ,,Q4       - ,1
9,2016-04-13T00:00:00,10,0021501226,3,Final,20160413/NOPMIN,1610612750,1610612740,2015,4,     ,,Q4       - ,1
10,2016-04-13T00:00:00,11,0021501227,3,Final,20160413/MEMGSW,1610612744,1610612763,2015,4,     ,ESPN,Q4       - ESPN,1
11,2016-04-13T00:00:00,12,0021501228,3,Final,20160413/UTALAL,1610612747,1610612762,2015,4,     ,ESPN2,Q4       - ESPN2,1
12,2016-04-13T00:00:00,13,0021501229,3,Final,20160413/LACPHX,1610612756,1610612746,2015,4,     ,,Q4       - ,1
13,2016-04-13T00:00:00,14,0021501230,3,Final,20160413/DENPOR,1610612757,1610612743,2015,4,     ,,Q4       - ,1
0,2016-04-12T00:00:00,1,0021501212,3,Final,20160412/NYKIND,1610612754,1610612752,2015,4,     ,,Q4       - ,1
1,2016-04-12T00:00:00,2,0021501213,3,Final,20160412/MIADET,1610612765,1610612748,2015,4,     ,,Q4       - ,1
2,2016-04-12T00:00:00,3,0021501214,3,Final,20160412/PHITOR,1610612761,1610612755,2015,4,     ,,Q4       - ,1
3,2016-04-12T00:00:00,4,0021501215,3,Final,20160412/OKCSAS,1610612759,1610612760,2015,5,     ,TNT,Q5       - TNT,1
4,2016-04-12T00:00:00,5,0021501216,3,Final,20160412/MEMLAC,1610612746,1610612763,2015,4,     ,TNT,Q4       - TNT,1
0,2016-04-11T00:00:00,1,0021501203,3,Final,20160411/ATLCLE,1610612739,1610612737,2015,4,     ,NBA TV,Q4       - NBA TV,1
1,2016-04-11T00:00:00,2,0021501204,3,Final,20160411/MILORL,1610612753,1610612749,2015,4,     ,,Q4       - ,1
2,2016-04-11T00:00:00,3,0021501205,3,Final,20160411/CHABOS,1610612738,1610612766,2015,4,     ,,Q4       - ,1
